created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Mon Mar 06 08:55:52 +0000 2023,1632666292296769544,"Seperti kamu, Medan memang jauh di mata tapi mantab di hati. https://t.co/zYTFFO43IF",49,646,157,2312,in,109762193,1632666292296769544,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632666292296769544,
Sun Mar 05 11:46:36 +0000 2023,1632346873213382666,"Banyak sekali kisah yang beliau sampaikan. Mulai dari perjalanan kehidupan personal hingga bagaimana akhirnya beliau dipilih sebagai Tuan Guru Babusalam, Langkat, Sumatera Utara. https://t.co/WHS2NdDyjc",8,43,67,651,in,109762193,1632346873213382666,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632346873213382666,
Mon Mar 06 00:30:32 +0000 2023,1632539123998400512,Sebagai Ketua Umum Kagama saya melantik Pengurus Cabang Kagama di Wilayah Sumatera Utara semalam.   Saya berharap Kagama Sumut mampu menjalankan fungsi pengabdian masyarakat dan bekerjasama dengan berbagai lembaga dalam mendorong perkembangan ekonomi di Sumatera Utara. https://t.co/QkmLt7Ay5o,8,118,94,943,in,109762193,1632539123998400512,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632539123998400512,
Mon Mar 06 06:05:04 +0000 2023,1632623311388827649,"Sabar. Sabar. Sabar.   Sudah lewat gang sempit kayak gini, masih ada aja yang nanya. Pengen tak heeeeeehhhhh. https://t.co/8LAGI1znr2",62,303,240,2352,in,109762193,1632623311388827649,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632623311388827649,
Sun Mar 05 09:52:57 +0000 2023,1632318271079976960,Niatnya lari tipis-tipis di GBK malah ketemu teman-teman Keluarga Besar Putra Putri Polri yg lagi acara fun walk. Akhirnya gabung deh olahraga rame-rame.   Rasanya seperti ketemu sodara aja karena gini-gini saya jg anak polisi. Terimakasih KBPP Polri. Kaosnya keren. Salam setia https://t.co/wd2DGx3cbN,18,202,152,1511,in,109762193,1632318271079976960,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632318271079976960,
Sun Mar 05 08:47:21 +0000 2023,1632301763931021313,Nongkrong malam-malam di angkringan Jabrik bersama temen-temen Keluarga Besar Majestic 55.   Ini komunitas pecinta alam dimana saya pernah jadi salah satu ketua ketika kuliah di Fak Hukum UGM. https://t.co/pexM9BRvt1,11,75,92,954,in,109762193,1632301763931021313,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632301763931021313,
Sun Mar 05 06:09:43 +0000 2023,1632262091645272067,Silahkan melaporkan jalan rusak di wilayah anda melalui aplikasi Jalan Cantik.   Dengan aplikasi ini kami mengintegrasikan penanganan jalan bersama pemerintah pusat dan kabupaten/kota. https://t.co/2WCMALc4QB,47,276,295,1521,in,109762193,1632262091645272067,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632262091645272067,
Sun Mar 05 03:11:48 +0000 2023,1632217317445885954,"Banyak aduan soal jalan rusak di berbagai daerah. Untuk jalan provinsi sudah kita anggarkan Rp437 miliar dan sudah mulai kita kerjakan.   Sedangkan jalan nasional kita minta pemerintah pusat segera  perbaiki, termasuk Pantura Timur yang banyak dikeluhkan. https://t.co/pSdzShXand",26,158,125,998,in,109762193,1632217317445885954,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1632217317445885954,
Sat Mar 04 12:27:54 +0000 2023,1631994877243424768,Muhammadiyah punya peran yang sangat besar terhadap tumbuh kembangnya Islam di negeri ini.   Peran dakwah yang diambil tidak cuma bersumber dari satu jalan. https://t.co/cUSfZPBaUr,4,33,110,961,in,109762193,1631994877243424768,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1631994877243424768,
Sat Mar 04 10:03:51 +0000 2023,1631958627308433408,"Jalur Pantura Jateng Rusak Parah, Wachid ke Ganjar Pranowo: Jangan Hanya Tebar Pesona, Rakyatmu Menangis https://t.co/yTQkdFTDad",14,53,197,663,in,887743587579944960,1631958627308433408,OposisiCerdas,https://twitter.com/OposisiCerdas/status/1631958627308433408,
